
12월 14, 2018 04:28:28.38 NEW SESSION
12월 14, 2018 04:28:28.55 [21896:16108:1214/042827.905:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:28.78 [21896:16108:1214/042828.779:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:30.84 [21896:16108:1214/042830.839:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:31.77 [21896:16108:1214/042831.773:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:32.47 [21896:16108:1214/042832.472:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:33.44 [21896:16108:1214/042833.439:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:35.35 [21896:16108:1214/042835.356:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:35.77 [21896:16108:1214/042835.774:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:36.62 [21896:16108:1214/042836.624:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 04:28:37.47 [21896:16108:1214/042837.475:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 04:28:38.25 [21896:16108:1214/042838.257:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:39.89 [21896:16108:1214/042839.890:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:40.22 [21896:16108:1214/042840.222:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:28:41.93 [21896:16108:1214/042841.938:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 101 is too big.
12월 14, 2018 04:39:07.58 [21896:16108:1214/043907.577:ERROR:textfield.cc(1767)] NOT IMPLEMENTED
12월 14, 2018 04:50:59.07 [21896:16108:1214/045059.068:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:07:31.07 [21896:16108:1214/050731.072:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:07:39.10 [21896:16108:1214/050739.106:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
12월 14, 2018 05:35:32.21 [21896:22108:1214/053532.213:ERROR:ssl_client_socket_impl.cc(1061)] handshake failed; returned -1, SSL error code 1, net_error -101
