127.0.0.1 - - [14/Nov/2018:19:28:50 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/UserPage.html HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/NewFile.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/user.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/NewFile.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/user.png HTTP/1.1" 200 12915
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/paper.png HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/thumb-up-button.png HTTP/1.1" 200 5266
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/bookmark-ribbon.png HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:28:52 +0900] "GET /Jeonju/star.png HTTP/1.1" 200 5868
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/UserPage.html HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/NewFile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/paper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/thumb-up-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/bookmark-ribbon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:19:37:03 +0900] "GET /Jeonju/star.png HTTP/1.1" 304 -
